step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,241,1,0.1248406598333889,0.0,0.0,0.04254882887716136,0.0,0.0,,,,,,
2,858,2,0.056638705854455504,0.0,0.0,,,,,,,,,
3,1739,3,0.03486655507959063,0.0,0.0,,,,,,,,,
4,2156,4,0.06448795180743709,0.0,0.0,,,,,,,,,
5,2701,5,0.04853170416678629,0.0,0.0,,,,,,,,,
6,4590,6,0.016935860918537993,0.0,0.0,,,,,,,,,
7,4663,7,0.15285558724345008,0.0,0.0,,,,,,,,,
8,4880,8,0.05400623388336734,0.0,0.0,,,,,,,,,
9,5609,9,0.03275240738329708,0.0,0.0,0.03777821215739323,0.0,0.0,,,,,,
10,5962,10,0.028413646469971354,0.0,0.0,,,,,,,,,
11,6307,11,0.02154850715618353,1.0,1.0,,,,,,,,,
12,6612,12,0.03138178079309592,1.0,1.0,,,,,,,,,
13,7005,13,0.03001512544237051,1.0,1.0,,,,,,,,,
14,7430,14,0.025636809013637313,1.0,1.0,,,,,,,,,
15,7535,15,0.03376897486853593,1.0,1.0,,,,,,,,,
16,8464,16,0.026362467170837872,1.0,1.0,,,,,,,,,
17,8649,17,0.0413728941167811,1.0,1.0,0.035979009395719914,1.0,1.0,,,,,,
18,9010,18,0.02925915472416172,1.0,1.0,,,,,,,,,
19,9211,19,0.03208865266173088,1.0,1.0,,,,,,,,,
20,9340,20,0.03169742049960405,1.0,1.0,,,,,,,,,
21,9789,21,0.026879322289900563,1.0,1.0,,,,,,,,,
22,9950,22,0.027350593018840304,1.0,1.0,,,,,,,,,
23,10295,23,0.02897958220323538,1.0,1.0,,,,,,,,,
24,10560,24,0.028788765576915246,1.0,1.0,,,,,,,,,
25,12513,25,0.023575921628578383,1.0,1.0,0.027069374803356493,1.0,1.0,,,,,,
26,12730,26,0.031712564080155936,1.0,1.0,,,,,,,,,
27,13147,27,0.025082814800595703,1.0,1.0,,,,,,,,,
28,13284,28,0.03249990303788389,1.0,1.0,,,,,,,,,
29,13429,29,0.027253834712897107,1.0,1.0,,,,,,,,,
30,13686,30,0.028245416979075344,1.0,1.0,,,,,,,,,
31,13879,31,0.03190875484979794,1.0,1.0,,,,,,,,,
32,14080,32,0.026813366307943218,1.0,1.0,,,,,,,,,
33,14281,33,0.028153868778349717,1.0,1.0,0.025397020240852726,1.0,1.0,,,,,,
34,14690,34,0.023123252757044004,1.0,1.0,,,,,,,,,
35,15011,35,0.029020611035795812,1.0,1.0,,,,,,,,,
36,15996,36,0.02237011370080755,1.0,1.0,,,,,,,,,
37,16213,37,0.028656050764699032,1.0,1.0,,,,,,,,,
38,16286,38,0.02443314485041709,1.0,1.0,,,,,,,,,
39,16455,39,0.022801604264749625,1.0,1.0,,,,,,,,,
40,16840,40,0.02113826672812403,1.0,1.0,,,,,,,,,
41,17513,41,0.02484088645386253,1.0,1.0,0.02665928608656996,1.0,1.0,,,,,,
42,17922,42,0.024467106397853915,1.0,1.0,,,,,,,,,
43,18275,43,0.02296510459774006,1.0,1.0,,,,,,,,,
44,19452,44,0.030146233384424407,1.0,1.0,,,,,,,,,
45,19757,45,0.024522733627655294,1.0,1.0,,,,,,,,,
46,20630,46,0.024072426818890786,1.0,1.0,,,,,,,,,
47,21071,47,0.030221712558593107,1.0,1.0,,,,,,,,,
48,21192,48,0.025747736868116284,1.0,1.0,,,,,,,,,
49,21721,49,0.024408444519272467,1.0,1.0,0.016108772687846083,1.0,1.0,,,,,,
50,22242,50,0.02250266348742578,1.0,1.0,,,,,,,,,
51,22403,51,0.019040404139776004,1.0,1.0,,,,,,,,,
52,22532,52,0.032622235040870466,1.0,1.0,,,,,,,,,
53,22749,53,0.02472442001522183,0.0,0.0,,,,,,,,,
54,23070,54,0.020933489529778856,1.0,1.0,,,,,,,,,
55,23559,55,0.0264114281808009,1.0,1.0,,,,,,,,,
56,24128,56,0.01144260366873298,1.0,1.0,,,,,,,,,
57,24753,57,0.023829522351061547,1.0,1.0,0.020057172949287414,1.0,1.0,,,,,,
58,25098,58,0.02448567334185819,1.0,1.0,,,,,,,,,
59,25515,59,0.028591982935682048,1.0,1.0,,,,,,,,,
60,25940,60,0.028752617480883754,1.0,1.0,,,,,,,,,
61,26229,61,0.025030932254409586,1.0,1.0,,,,,,,,,
62,26582,62,0.020220747801835883,1.0,1.0,,,,,,,,,
63,27047,63,0.026119561240066102,1.0,1.0,,,,,,,,,
64,27320,64,0.02315583458775269,1.0,1.0,,,,,,,,,
65,27593,65,0.02549213865982839,1.0,1.0,0.023973015944801838,1.0,1.0,,,,,,
66,28722,66,0.024570081776398075,1.0,1.0,,,,,,,,,
67,30027,67,0.01859856767169402,1.0,1.0,,,,,,,,,
68,30780,68,0.026566605949582423,1.0,1.0,,,,,,,,,
69,32109,69,0.02420640722125219,1.0,1.0,,,,,,,,,
70,32366,70,0.026573259109162563,1.0,1.0,,,,,,,,,
71,32655,71,0.029297063280572248,1.0,1.0,,,,,,,,,
72,32984,72,0.019903964249976373,1.0,1.0,,,,,,,,,
73,33257,73,0.02108226841668939,1.0,1.0,0.02022597015172054,1.0,1.0,,,,,,
74,33658,74,0.02451456191724792,1.0,1.0,,,,,,,,,
75,33811,75,0.019019968733431546,1.0,1.0,,,,,,,,,
76,33916,76,0.022649175257883358,1.0,1.0,,,,,,,,,
77,34085,77,0.01963439072918802,1.0,1.0,,,,,,,,,
78,34654,78,0.022286423075203062,1.0,1.0,,,,,,,,,
79,35135,79,0.016683690643830535,1.0,1.0,,,,,,,,,
80,35552,80,0.019422986734147902,1.0,1.0,,,,,,,,,
81,35681,81,0.019525925640283506,1.0,1.0,0.02418815104862522,1.0,1.0,,,,,,
82,36698,82,0.026270701140485873,1.0,1.0,,,,,,,,,
83,37243,83,0.021531730184069738,1.0,1.0,,,,,,,,,
84,37788,84,0.023318997395880857,1.0,1.0,,,,,,,,,
